URI,Created,Works,Environment,Parent Collection,Url to collection online,Sheet Creator,Sheet Done,Date Created,Archipelago Collection,Notes,Errors
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B6%5D,2022-11-11T14:51:38.621000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-17,2020-04-17T16:53:48.672000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-15%5B3%5D,2020-04-15T13:42:39.717000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/seeklight-out,2025-06-20T20:24:50.596000+00:00,6,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial,2025-08-04T20:21:03.905000+00:00,69,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-15%5B2%5D,2020-04-15T13:42:39.717000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B10%5D,2022-11-09T22:21:56.418000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B5%5D,2022-11-11T14:51:38.610000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/kev-quick,2025-02-10T22:00:55.130000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts%5B2%5D,2022-07-13T17:33:11.460000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B3%5D,2022-11-11T14:51:38.582000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sci_fi_temp_batch_2,2025-03-25T21:15:40.739000+00:00,79,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B2%5D,2022-11-11T14:51:38.578000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas,2022-08-19T14:26:55.942000+00:00,58,pre,,,,,,,,
