field_name,collection,csv_file
fedora_lastModifiedBy,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_type,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_description,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_creator,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_contributor,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
fedora_writable,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
fedora_lastModified,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
files,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_created,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_alternative,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_format,time_of_resolve,time_of_resolve.csv
dcterms_spatial,time_of_resolve,time_of_resolve.csv
fedora_createdBy,time_of_resolve,time_of_resolve.csv
fedora_hasParent,time_of_resolve,time_of_resolve.csv
dcterms_temporal,time_of_resolve,time_of_resolve.csv
dc_subject,time_of_resolve,time_of_resolve.csv
dc_contributor,time_of_resolve,time_of_resolve.csv
ldp_contains,time_of_resolve,time_of_resolve.csv
dc_publisher,time_of_resolve,time_of_resolve.csv
fedora_writable,time_of_resolve,time_of_resolve.csv
fedora_lastModified,time_of_resolve,time_of_resolve.csv
dcterms_type,time_of_resolve,time_of_resolve.csv
dc_description,time_of_resolve,time_of_resolve.csv
fedora_created,time_of_resolve,time_of_resolve.csv
dcterms_created,time_of_resolve,time_of_resolve.csv
fedora_lastModifiedBy,time_of_resolve,time_of_resolve.csv
dc_title,time_of_resolve,time_of_resolve.csv
dc_creator,time_of_resolve,time_of_resolve.csv
dcterms_abstract,time_of_resolve,time_of_resolve.csv
dc_rights,time_of_resolve,time_of_resolve.csv
files,time_of_resolve,time_of_resolve.csv
dc_identifier,time_of_resolve,time_of_resolve.csv
dc_language,time_of_resolve,time_of_resolve.csv
